"","mc_region","region_name","state","mape","id","desc","date","qtt"
"200","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2016-08-01,751
"201","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2016-09-01,776
"202","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2016-10-01,751
"203","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2016-11-01,710
"204","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2016-12-01,718
"205","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2017-01-01,788
"206","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2017-02-01,790
"207","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2017-03-01,936
"208","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2017-04-01,814
"209","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2017-05-01,893
"210","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2017-06-01,802
"211","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2017-07-01,834
"212","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2017-08-01,783
"213","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2017-09-01,793
"214","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2017-10-01,792
"215","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2017-11-01,748
"216","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2017-12-01,731
"217","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2018-01-01,839
"218","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2018-02-01,772
"219","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2018-03-01,901
"220","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2018-04-01,941
"221","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2018-05-01,945
"222","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2018-06-01,799
"223","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2018-07-01,816
"224","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2018-08-01,859
"225","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2018-09-01,780
"226","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2018-10-01,787
"227","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2018-11-01,785
"228","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2018-12-01,764
"229","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2019-01-01,853
"230","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2019-02-01,795
"231","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2019-03-01,877
"232","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2019-04-01,921
"233","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2019-05-01,910
"234","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2019-06-01,792
"235","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2019-07-01,843
"236","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2019-08-01,734
"237","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2019-09-01,788
"238","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2019-10-01,749
"239","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2019-11-01,685
"240","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2019-12-01,795
